Condition;Emotion;Subject;RT;Valence;Session;Group
Baseline;Neutral;14GFA;5.9875;6.375;2;1
Think;Disgust;14GFA;7.094000000000001;2.4;2;1
No-Think;Disgust;14GFA;6.6975;1.75;2;1
Baseline;Disgust;14GFA;6.276666666666667;2.8333333333333335;2;1
Think;Sadness;14GFA;7.116;1.8;2;1
No-Think;Sadness;14GFA;7.19;2.6;2;1
Baseline;Sadness;14GFA;7.128;2.8;2;1
Think;Neutral;15AJU;6.530833333333334;5.25;2;1
No-Think;Neutral;15AJU;6.581;5.9;2;1
Baseline;Neutral;15AJU;6.5254545454545445;5.25;2;1
Think;Disgust;15AJU;5.8825;3.5;2;1
No-Think;Disgust;15AJU;7.1049999999999995;4.166666666666667;2;1
Baseline;Disgust;15AJU;7.109999999999999;4.0;2;1
Think;Sadness;15AJU;7.0616666666666665;4.166666666666667;2;1
No-Think;Sadness;15AJU;7.0;3.5;2;1
Baseline;Sadness;15AJU;6.4079999999999995;3.6;2;1
Think;Neutral;16HLU;6.785454545454545;5.545454545454546;2;1
No-Think;Neutral;16HLU;6.412000000000001;5.181818181818182;2;1
Baseline;Neutral;16HLU;6.2;6.0;2;1
Think;Disgust;16HLU;6.558;3.8;2;1
No-Think;Disgust;16HLU;6.5566666666666675;2.6666666666666665;2;1
Baseline;Disgust;16HLU;5.936000000000001;3.4;2;1
Think;Sadness;16HLU;6.75;2.0;2;1
No-Think;Sadness;16HLU;6.28;3.0;2;1
Baseline;Sadness;16HLU;6.02;2.6;2;1
Think;Neutral;17MBA;6.77;5.0;2;1
No-Think;Neutral;17MBA;6.132222222222222;4.888888888888889;2;1
Baseline;Neutral;17MBA;6.946000000000001;5.1;2;1
Think;Disgust;17MBA;6.6625000000000005;3.25;2;1
No-Think;Disgust;17MBA;7.01;5.0;2;1
Baseline;Disgust;17MBA;7.1;4.2;2;1
Think;Sadness;17MBA;7.649999999999999;3.2;2;1
No-Think;Sadness;17MBA;6.742;3.8;2;1
Baseline;Sadness;17MBA;7.2575;4.25;2;1
Think;Neutral;18VJU;6.502999999999998;5.6;2;1
No-Think;Neutral;18VJU;6.2725;5.25;2;1
Baseline;Neutral;18VJU;6.2299999999999995;5.7;2;1
Think;Disgust;18VJU;6.784000000000001;2.6;2;1
No-Think;Disgust;18VJU;6.26;2.6;2;1
Baseline;Disgust;18VJU;5.3575;4.0;2;1
Think;Sadness;18VJU;6.096666666666667;1.6666666666666667;2;1
No-Think;Sadness;18VJU;6.146666666666667;3.3333333333333335;2;1
Baseline;Sadness;18VJU;6.168333333333333;2.6666666666666665;2;1
Think;Neutral;19MCO;7.67;5.083333333333333;2;1
No-Think;Neutral;19MCO;7.5;5.25;2;1
Baseline;Neutral;19MCO;7.816999999999998;5.333333333333333;2;1
Think;Disgust;19MCO;6.556;3.8333333333333335;2;1
No-Think;Disgust;19MCO;7.2700000000000005;5.0;2;1
Baseline;Disgust;19MCO;7.913333333333334;4.833333333333333;2;1
Think;Sadness;19MCO;7.920000000000001;3.0;2;1
No-Think;Sadness;19MCO;8.058;3.0;2;1
Baseline;Sadness;19MCO;6.2;4.0;2;1
Think;Neutral;21MVA;6.6375;5.166666666666667;2;1
No-Think;Neutral;21MVA;6.426363636363638;5.090909090909091;2;1
Baseline;Neutral;21MVA;6.6674999999999995;5.333333333333333;2;1
Think;Disgust;21MVA;7.49;4.0;2;1
No-Think;Disgust;21MVA;7.303333333333334;4.666666666666667;2;1
Baseline;Disgust;21MVA;6.442500000000001;4.75;2;1
Think;Sadness;21MVA;7.466666666666668;3.8333333333333335;2;1
No-Think;Sadness;21MVA;7.162000000000001;4.0;2;1
Baseline;Sadness;21MVA;6.7799999999999985;4.0;2;1
Think;Neutral;22DME;7.581999999999999;4.666666666666667;2;1
No-Think;Neutral;22DME;7.835;5.25;2;1
Baseline;Neutral;22DME;7.382000000000001;5.0;2;1
Think;Disgust;22DME;7.726666666666667;2.8333333333333335;2;1
No-Think;Disgust;22DME;6.1575;2.25;2;1
Baseline;Disgust;22DME;8.413333333333332;3.5;2;1
Think;Sadness;22DME;7.68;2.4;2;1
No-Think;Sadness;22DME;7.415;2.8333333333333335;2;1
Baseline;Sadness;22DME;6.4174999999999995;4.0;2;1
Think;Neutral;23RGR;7.076666666666666;4.777777777777778;2;1
No-Think;Neutral;23RGR;7.019090909090909;4.363636363636363;2;1
Baseline;Neutral;23RGR;7.538181818181818;5.0;2;1
Think;Disgust;23RGR;7.46;2.5;2;1
No-Think;Disgust;23RGR;7.436666666666667;3.3333333333333335;2;1
Baseline;Disgust;23RGR;8.145;3.0;2;1
